#ITER       #BEST_FO       #MEDIA_FO
1           6705.29        17909.2
2            6305.9        7732.04
3           5746.43        6947.53
4           5307.32        6345.09
5           5174.61        6010.86
6           5063.82        5782.82
7           4963.47        5591.49
8            4934.7        5395.86
9           4853.85         5254.4
10           4853.85        5203.12
11           4828.44        5146.11
12           4775.05        5062.05
13           4763.26        5032.22
14           4754.96        4994.34
15           4738.09        4970.27
16           4738.09        4949.29
17           4738.09        4937.64
18           4721.25        4929.86
19           4716.02        4920.75
20           4716.02        4911.36
21           4709.79        4905.71
22           4709.79        4902.83
23           4708.12        4900.49
24           4708.12        4898.07
25           4705.68        4894.73
26           4699.94        4888.04
27           4694.27        4884.78
28           4692.57        4881.49
29           4692.57        4877.26
30           4692.57        4872.88
31           4692.57        4869.33
32           4692.57        4867.05
33           4692.57        4865.79
34           4690.96        4864.62
35           4690.96        4863.55
36            4688.4        4862.17
37            4688.4        4861.45
38           4687.34        4859.68
39           4687.34        4858.67
40           4687.34           4858
41           4685.52        4856.27
42           4685.52        4855.69
43           4685.52        4855.21
44           4685.52        4855.03
45           4685.52        4854.99
46           4685.52        4854.76
47           4685.52        4854.53
48           4684.62        4854.16
49           4684.62        4852.87
50           4684.62        4852.11
51           4684.62        4851.28
52           4684.39        4850.28
53           4683.42        4850.12
54           4683.42        4849.85
55           4683.11        4849.43
56           4682.39        4848.88
57           4682.39        4848.36
58           4682.39        4848.03
59           4682.39        4847.87
60           4681.64        4847.63
61           4681.64        4847.38
62           4681.64        4846.94
63           4681.53        4846.56
64           4681.53        4846.16
65           4681.53        4845.96
66           4680.83        4845.77
67           4680.83         4845.7
68           4680.83        4845.36
69           4680.83        4845.17
70           4680.83        4844.91
71           4680.83        4844.57
72           4680.83        4844.47
73           4680.28        4844.14
74           4680.28        4844.07
75           4680.08         4843.9
76           4680.08        4843.66
77           4679.98        4843.59
78           4679.98        4843.47
79           4679.98        4843.42
80           4679.98        4843.38
81           4679.59        4843.32
82           4679.59         4843.3
83           4679.59        4843.29
84           4679.59        4843.28
85           4679.59        4843.28
86           4679.59        4843.28
87           4679.59        4843.18
88           4679.59        4843.12
89           4679.59        4842.94
90           4679.59        4842.86
91           4679.27        4842.73
92           4679.27        4842.66
93           4679.27        4842.59
94           4679.27        4842.46
95           4679.27        4842.42
96           4679.27        4842.35
97           4679.27        4842.21
98           4679.27        4842.18
99           4679.27        4842.17
100           4679.27        4842.13
101           4679.27        4842.08
102           4679.27        4842.06
103           4678.88        4841.84
104           4678.88        4841.79
105           4678.57         4841.7
106           4678.57        4841.62
107           4678.57        4841.55
108           4678.57        4841.51
109           4678.57        4841.51
110           4678.57        4841.38
111           4678.57        4841.23
112           4678.57        4841.15
113           4678.57        4841.13
114           4678.57        4841.05
115           4678.57        4840.97
116           4678.57        4840.92
117           4678.57        4840.83
118           4678.53        4840.81
119           4678.53        4840.81
120           4678.53        4840.76
121           4678.53        4840.75
122           4678.53        4840.69
123           4678.53        4840.66
124           4678.42        4840.59
125           4678.42        4840.59
126           4678.42        4840.57
127           4678.42        4840.49
128           4678.42        4840.47
129           4678.42        4840.46
130           4678.42        4840.46
131           4678.42        4840.46
132           4678.42        4840.42
133           4678.42         4840.4
134           4678.42         4840.4
135           4678.42         4840.4
136           4678.42        4840.39
137           4678.42        4840.38
138           4678.42        4840.36
139           4678.37        4840.34
140           4678.25         4840.3
141           4678.25        4840.29
142           4678.25        4840.28
143           4678.25        4840.27
144           4678.25        4840.27
145           4678.25        4840.26
146           4678.25        4840.26
147           4678.25        4840.26
148           4678.25        4840.26
149           4678.25        4840.26
150           4678.25        4840.25
151           4678.25        4840.25
152           4678.25        4840.24
153           4678.25        4840.22
154           4678.25        4840.22
155           4678.25        4840.19
156           4678.25        4840.13
157           4678.25        4840.11
158           4678.25         4840.1
159           4678.25         4840.1
160           4678.25        4840.08
161           4678.25        4840.08
162           4678.25        4840.06
163           4678.25        4840.06
164           4678.25        4840.06
165           4678.25        4840.06
166           4678.25        4840.03
167           4678.25        4840.03
168           4678.25        4840.03
169           4678.25        4840.03
170           4678.25        4840.02
171           4678.25        4840.02
172           4678.25        4840.02
173           4678.25        4840.01
174           4678.25        4840.01
175           4678.25        4840.01
176           4678.25        4840.01
177           4678.25        4840.01
178           4678.25        4839.99
179           4678.25        4839.99
180           4678.02        4839.97
181           4678.02        4839.97
182           4677.94        4839.97
183           4677.94        4839.97
184           4677.94        4839.95
185           4677.94        4839.95
186           4677.94        4839.95
187           4677.94        4839.94
188           4677.94        4839.92
189           4677.94        4839.87
190           4677.94        4839.86
191           4677.94        4839.82
192           4677.94        4839.82
193           4677.94         4839.8
194           4677.94         4839.8
195           4677.94        4839.79
196           4677.94        4839.79
197           4677.94        4839.78
198           4677.94        4839.78
199           4677.94        4839.78
200           4677.94        4839.77
201           4677.94        4839.77
202           4677.94        4839.75
203           4677.94        4839.74
204           4677.94        4839.73
205           4677.94        4839.72
206           4677.94        4839.71
207           4677.94        4839.71
208           4677.94        4839.71
209           4677.94         4839.7
210           4677.83         4839.7
211           4677.83        4839.68
212           4677.83        4839.67
213           4677.83        4839.66
214           4677.83        4839.65
215           4677.83        4839.64
216           4677.77        4839.63
217           4677.77        4839.63
218           4677.77        4839.63
219           4677.77        4839.63
220           4677.77        4839.63
221           4677.77        4839.62
222           4677.77        4839.61
223           4677.77        4839.61
224           4677.77        4839.59
225           4677.77        4839.58
226           4677.77        4839.58
227           4677.77        4839.58
228           4677.77        4839.58
229           4677.77        4839.58
230           4677.69        4839.53
231           4677.69        4839.53
232           4677.69        4839.53
233           4677.69        4839.52
234           4677.69        4839.52
235           4677.69        4839.51
236           4677.66        4839.49
237           4677.57        4839.47
238           4677.57        4839.45
239           4677.57        4839.43
240           4677.57        4839.42
241           4677.57        4839.41
242           4677.57        4839.39
243           4677.57        4839.37
244           4677.57        4839.37
245           4677.57        4839.37
246           4677.57        4839.36
247           4677.57        4839.34
248           4677.57        4839.32
249           4677.57        4839.32
250           4677.57         4839.3
251           4677.46        4839.29
252           4677.46        4839.28
253           4677.46        4839.27
254           4677.46        4839.26
255           4677.46        4839.25
256           4677.46        4839.24
257           4677.46        4839.23
258           4677.46        4839.23
259           4677.46        4839.23
260           4677.46        4839.23
261           4677.46        4839.22
262           4677.46        4839.22
263           4677.31        4839.21
264           4677.31        4839.19
265           4677.31        4839.18
266           4677.31        4839.15
267           4677.31        4839.15
268           4677.31        4839.14
269           4677.31        4839.13
270           4677.31        4839.13
271           4677.31        4839.13
272           4677.31        4839.13
273           4677.31        4839.13
274           4677.31        4839.12
275           4677.31        4839.12
276           4677.31        4839.12
277           4677.31        4839.11
278           4677.31         4839.1
279           4677.31        4839.09
280           4677.31        4839.09
281           4677.31        4839.07
282           4677.31        4839.06
283           4677.31        4839.06
284           4677.31        4839.02
285           4677.31        4839.02
286           4677.31        4839.01
287           4677.31           4839
288           4677.31           4839
289           4677.31           4839
290           4677.31        4838.99
291           4677.31        4838.99
292           4677.31        4838.97
293           4677.31        4838.97
294           4677.31        4838.97
295           4677.31        4838.97
296           4677.31        4838.97
297           4677.31        4838.96
298           4677.31        4838.96
299           4677.31        4838.95
300           4677.31        4838.95
301           4677.31        4838.94
302           4677.31        4838.93
303           4677.31        4838.93
304           4677.31        4838.93
305           4677.31        4838.93
306           4677.31        4838.93
307           4677.31        4838.93
308           4677.31        4838.93
309           4677.31        4838.93
310           4677.31        4838.92
311           4677.31        4838.92
312           4677.29        4838.92
313           4677.29        4838.91
314           4677.25         4838.9
315           4677.25        4838.88
316           4677.25        4838.86
317           4677.25        4838.86
318           4677.25        4838.85
319           4677.25        4838.84
320           4677.25        4838.84
321           4677.25        4838.84
322           4677.25        4838.84
323           4677.25        4838.84
324           4677.24        4838.84
325           4677.24        4838.83
326           4677.24        4838.83
327           4677.24        4838.83
328           4677.22        4838.82
329           4677.22        4838.82
330           4677.22        4838.82
331           4677.22        4838.82
332           4677.22        4838.82
333           4677.22         4838.8
334           4677.22         4838.8
335           4677.22         4838.8
336           4677.22        4838.79
337           4677.22        4838.78
338           4677.22        4838.77
339           4677.22        4838.77
340           4677.22        4838.77
341           4677.22        4838.77
342           4677.22        4838.77
343           4677.22        4838.77
344           4677.22        4838.77
345           4677.22        4838.77
346           4677.21        4838.77
347           4677.21        4838.76
348           4677.21        4838.76
349           4677.21        4838.76
350           4677.21        4838.76
351           4677.21        4838.75
352           4677.21        4838.75
353           4677.21        4838.75
354           4677.21        4838.75
355           4677.21        4838.75
356           4677.21        4838.75
357           4677.21        4838.75
