#ITER     #MEDIA_BFO        #MEDIA_M
1           7318.61        24334.7
2           6791.17        9530.59
3           6373.35        7712.69
4           5984.35        7018.22
5           5632.11        6555.12
6           5427.79        6236.22
7            5317.7        6010.12
8           5241.16        5815.09
9           5167.83        5652.76
10           5045.38        5517.45
11           4988.63        5394.48
12           4917.76        5301.84
13           4882.29        5233.02
14           4854.48        5172.64
15            4822.1        5125.05
16           4809.94        5086.17
17           4803.03        5054.78
18           4790.39        5030.61
19           4775.03        5011.67
20           4770.22        4993.85
21           4763.94         4977.6
22           4759.48        4966.08
23           4757.54        4957.65
24           4755.73        4949.72
25           4748.02        4942.18
26           4744.22        4935.93
27           4739.83        4929.73
28           4735.27        4924.02
29           4730.48         4919.5
30           4728.33        4914.25
31           4726.28        4909.17
32           4722.86        4904.74
33           4720.69        4901.02
34           4718.09        4898.16
35           4715.07        4894.84
36            4712.2        4891.88
37           4708.76        4889.38
38           4707.72        4886.19
39           4704.81        4882.84
40           4702.98        4880.25
41           4702.17        4878.01
42           4700.44        4875.43
43           4698.49        4873.09
44           4697.61        4871.23
45           4696.02        4869.16
46           4694.18        4867.35
47           4693.31        4866.01
48           4690.77        4864.38
49           4690.48        4862.67
50           4689.48        4861.35
51            4688.5         4860.1
52           4687.34        4858.81
53            4687.1        4857.68
54           4686.28        4856.69
55           4685.79         4855.6
56           4685.13        4854.53
57           4684.94        4853.81
58           4684.87        4853.08
59           4684.44        4852.41
60           4684.28        4851.72
61           4684.09        4851.41
62            4683.8        4850.96
63           4683.67        4850.55
64           4683.55         4850.1
65           4683.35        4849.64
66           4683.29        4849.38
67           4683.26        4849.05
68           4683.19        4848.63
69           4683.06        4848.28
70           4682.81        4848.04
71           4682.73        4847.83
72           4682.57        4847.65
73           4682.41         4847.4
74           4682.24        4847.21
75              4682        4847.06
76              4682         4846.9
77           4681.78        4846.66
78           4681.76         4846.5
79           4681.76        4846.38
80           4681.75        4846.27
81           4681.72        4846.12
82           4681.72        4845.98
83           4681.71        4845.83
84           4681.66        4845.74
85            4681.6        4845.63
86            4681.6        4845.58
87           4681.54        4845.42
88           4681.49         4845.3
89           4681.49        4845.21
90           4681.48         4845.1
91           4681.25        4844.99
92           4681.25        4844.89
93           4681.16        4844.77
94           4681.16         4844.7
95           4681.16        4844.65
96           4681.16        4844.57
97           4681.12        4844.48
98           4681.12         4844.4
99            4681.1         4844.3
100           4680.98        4844.18
101           4680.98        4844.13
102           4680.98        4844.06
103           4680.93        4843.98
104           4680.91        4843.91
105           4680.91        4843.86
106           4680.84        4843.76
107           4680.79        4843.72
108           4680.67        4843.67
109           4680.63         4843.6
110           4680.62        4843.55
111           4680.52        4843.47
112           4680.52        4843.41
113           4680.49        4843.36
114           4680.45        4843.31
115           4680.42        4843.24
116           4680.41         4843.2
117           4680.39        4843.14
118           4680.36        4843.09
119           4680.31        4843.05
120           4680.28        4843.02
121           4680.27        4842.99
122           4680.27        4842.96
123           4680.25        4842.94
124           4680.23        4842.92
125           4680.21         4842.9
126            4680.2        4842.88
127           4680.17        4842.85
128           4680.14        4842.84
129           4680.14        4842.81
130           4680.14        4842.77
131           4680.13        4842.75
132           4680.12        4842.72
133           4680.06        4842.71
134           4680.06        4842.68
135           4680.06        4842.65
136           4680.06        4842.62
137           4680.05        4842.57
138           4680.04        4842.52
139           4680.04        4842.48
140           4679.98        4842.46
141           4679.96        4842.43
142           4679.93         4842.4
143           4679.89        4842.36
144           4679.88        4842.32
145           4679.84        4842.29
146           4679.84        4842.26
147           4679.77        4842.22
148           4679.77        4842.19
149           4679.75        4842.16
150           4679.73        4842.13
151           4679.69         4842.1
152           4679.66        4842.08
153           4679.62        4842.06
154           4679.62        4842.04
155           4679.62        4842.02
156           4679.61           4842
157           4679.59        4841.98
158           4679.58        4841.94
159           4679.56        4841.93
160           4679.55        4841.91
161           4679.55         4841.9
162           4679.53        4841.88
163           4679.53        4841.87
164           4679.53        4841.85
165           4679.53        4841.83
166            4679.5        4841.81
167           4679.45        4841.79
168            4679.4        4841.77
169            4679.4        4841.75
170            4679.4        4841.74
171            4679.4        4841.72
172            4679.4        4841.71
173            4679.4         4841.7
174            4679.4        4841.67
175            4679.4        4841.67
176            4679.4        4841.66
177           4679.39        4841.64
178           4679.39        4841.63
179           4679.33        4841.62
180           4679.33         4841.6
181           4679.33        4841.59
182           4679.27        4841.57
183           4679.27        4841.54
184           4679.26        4841.51
185           4679.26        4841.47
186           4679.25        4841.45
187           4679.25        4841.44
188            4679.2        4841.42
189           4679.07        4841.39
190           4679.03        4841.36
191              4679        4841.33
192           4678.99        4841.32
193           4678.97        4841.27
194           4678.97        4841.26
195           4678.97        4841.24
196           4678.97        4841.21
197           4678.97        4841.17
198           4678.92        4841.15
199           4678.92        4841.13
200           4678.92        4841.12
201            4678.9        4841.09
202            4678.9        4841.08
203            4678.9        4841.07
204           4678.84        4841.04
205           4678.84        4841.01
206           4678.84        4840.99
207           4678.84        4840.97
208           4678.83        4840.96
209           4678.83        4840.94
210           4678.83        4840.93
211           4678.82        4840.91
212           4678.82        4840.91
213           4678.81         4840.9
214           4678.81        4840.89
215           4678.81        4840.88
216           4678.81        4840.88
217           4678.81        4840.86
218            4678.8        4840.86
219            4678.8        4840.85
220            4678.8        4840.84
221           4678.78        4840.82
222           4678.78        4840.82
223           4678.78        4840.81
224           4678.78         4840.8
225           4678.77         4840.8
226           4678.77        4840.78
227           4678.77        4840.78
228           4678.77        4840.76
229           4678.77        4840.75
230           4678.76        4840.75
231           4678.73        4840.74
232           4678.73        4840.73
233           4678.73        4840.72
234           4678.73        4840.71
235           4678.71         4840.7
236           4678.71         4840.7
237           4678.71        4840.69
238           4678.71        4840.68
239           4678.69        4840.68
240           4678.69        4840.68
241           4678.68        4840.66
242           4678.67        4840.66
243           4678.67        4840.65
244           4678.65        4840.64
245           4678.65        4840.63
246           4678.65        4840.62
247           4678.65        4840.61
248           4678.63         4840.6
249           4678.62        4840.59
250           4678.62        4840.58
251           4678.62        4840.57
252           4678.62        4840.57
253           4678.62        4840.56
254           4678.62        4840.55
255           4678.62        4840.54
256           4678.62        4840.53
257           4678.62        4840.53
258           4678.62        4840.52
259           4678.62        4840.51
260           4678.62        4840.51
261           4678.62         4840.5
262           4678.61         4840.5
263           4678.61        4840.49
264           4678.61        4840.48
265           4678.61        4840.48
266           4678.61        4840.47
267            4678.6        4840.46
268            4678.6        4840.46
269            4678.6        4840.45
270            4678.6        4840.44
271            4678.6        4840.43
272           4678.59        4840.42
273           4678.59        4840.42
274           4678.59        4840.41
275           4678.59         4840.4
276           4678.58        4840.39
277           4678.58        4840.39
278           4678.58        4840.38
279           4678.58        4840.37
280           4678.58        4840.37
281           4678.58        4840.36
282           4678.56        4840.35
283           4678.56        4840.34
284           4678.54        4840.32
285           4678.52        4840.32
286           4678.52        4840.31
287           4678.49         4840.3
288           4678.49        4840.29
289           4678.49        4840.29
290           4678.49        4840.28
291           4678.49        4840.27
292           4678.49        4840.26
293           4678.48        4840.26
294           4678.48        4840.25
295           4678.48        4840.25
296           4678.47        4840.24
297           4678.47        4840.24
298           4678.46        4840.23
299           4678.46        4840.23
300           4678.44        4840.22
301           4678.44        4840.21
302           4678.44        4840.21
303           4678.43         4840.2
304           4678.39        4840.19
305           4678.39        4840.19
306           4678.37        4840.17
307           4678.37        4840.17
308           4678.37        4840.16
309           4678.35        4840.16
310           4678.34        4840.15
311           4678.34        4840.14
312           4678.33        4840.13
313            4678.3        4840.12
314           4678.29        4840.12
315           4678.29        4840.12
316           4678.29        4840.11
317           4678.29         4840.1
318           4678.29         4840.1
319           4678.29        4840.09
320           4678.29        4840.09
321           4678.29        4840.08
322           4678.29        4840.08
323           4678.29        4840.08
324           4678.29        4840.07
325           4678.28        4840.06
326           4678.28        4840.05
327           4678.28        4840.05
328           4678.28        4840.04
329           4678.28        4840.03
330           4678.28        4840.03
331           4678.27        4840.03
332           4678.27        4840.03
333           4678.27        4840.02
334           4678.27        4840.02
335           4678.27        4840.01
336           4678.26           4840
337           4678.24           4840
338           4678.24           4840
339           4678.24        4839.99
340           4678.24        4839.98
341           4678.24        4839.98
342           4678.24        4839.97
343           4678.24        4839.97
344           4678.24        4839.97
345           4678.24        4839.96
346           4678.24        4839.96
